UserID,MovieID,Rating,Date
1488844,1,3,2005-09-06
822109,1,5,2005-05-13
885013,1,4,2005-10-19
30878,1,4,2005-12-26
823519,1,3,2004-05-03
893988,1,3,2005-11-17
124105,1,4,2004-08-05
1248029,1,3,2004-04-22
1842128,1,4,2004-05-09
2238063,1,3,2005-05-11
1503895,1,4,2005-05-19
2207774,1,5,2005-06-06
2590061,1,3,2004-08-12
2442,1,3,2004-04-14
543865,1,4,2004-05-28
1209119,1,4,2004-03-23
804919,1,4,2004-06-10
1086807,1,3,2004-12-28
1711859,1,4,2005-05-08
372233,1,5,2005-11-23
1080361,1,3,2005-03-28
1245640,1,3,2005-12-19
558634,1,4,2004-12-14
2165002,1,4,2004-04-06
1181550,1,3,2004-02-01
1227322,1,4,2004-02-06
427928,1,4,2004-02-26
814701,1,5,2005-09-29
808731,1,4,2005-10-31
662870,1,5,2005-08-24
337541,1,5,2005-03-23
786312,1,3,2004-11-16
1133214,1,4,2004-03-07
1537427,1,4,2004-03-29
1209954,1,5,2005-05-09
2381599,1,3,2005-09-12
525356,1,2,2004-07-11
1910569,1,4,2004-04-12
2263586,1,4,2004-08-20
2421815,1,2,2004-02-26
1009622,1,1,2005-01-19
1481961,1,2,2005-05-24
401047,1,4,2005-06-03
2179073,1,3,2004-08-29
1434636,1,3,2004-05-01
93986,1,5,2005-10-06
1308744,1,5,2005-10-29
2647871,1,4,2005-12-30
1905581,1,5,2005-08-16
2508819,1,3,2004-05-18
1578279,1,1,2005-05-19
1159695,1,4,2005-02-15
2588432,1,3,2005-03-31
2423091,1,3,2005-09-12
470232,1,4,2004-04-08
2148699,1,2,2004-06-05
1342007,1,3,2004-07-16
466135,1,4,2004-07-13
2472440,1,3,2005-08-13
1283744,1,3,2004-04-17
1927580,1,4,2004-11-08
716874,1,5,2005-05-06
4326,1,4,2005-10-29
1546549,1,5,2004-07-20
1493697,1,1,2005-11-01
880166,1,5,2005-07-12
535396,1,2,2005-02-03
494609,1,4,2004-12-08
1961619,1,5,2005-06-01
883478,1,4,2005-12-16
793564,1,4,2004-04-19
1567202,1,2,2004-03-01
573537,1,4,2005-02-03
1972040,1,4,2005-06-02
1838912,1,3,2005-11-08
411705,1,4,2004-05-11
2244518,1,5,2004-09-15
584542,1,5,2005-02-01
667730,1,5,2005-05-26
2488120,1,5,2005-09-20
1926776,1,1,2005-10-05
38052,1,3,2004-06-03
1196100,1,4,2004-10-30
314933,1,3,2005-09-12
1792741,1,2,2004-02-09
769643,1,1,2004-11-18
2477242,1,5,2005-01-30
1421006,1,3,2005-08-03
729846,1,4,2005-08-09
1719610,1,2,2005-08-19
1696031,1,4,2005-01-25
1817215,1,4,2005-09-01
406057,1,4,2004-09-27
636262,1,1,2005-09-26
1245406,1,4,2004-12-30
1834590,1,3,2005-02-05
593225,1,3,2004-07-11
1011918,1,4,2005-05-28
1665054,1,4,2005-07-06
2630337,1,5,2005-03-10
2059652,2,4,2005-09-05
1666394,2,3,2005-04-19
1759415,2,4,2005-04-22
1959936,2,5,2005-11-21
998862,2,4,2004-11-13
2625420,2,2,2004-12-06
573975,2,3,2005-07-21
392722,2,4,2004-12-10
1401650,2,4,2005-02-24
988104,2,3,2005-05-23
977632,2,4,2004-11-12
2557870,2,4,2005-03-27
1793899,2,5,2005-06-04
1340535,2,5,2004-12-12
1888322,2,5,2005-01-20
1283598,2,3,2004-11-30
1784150,2,4,2005-06-17
2271251,2,5,2005-08-19
65932,2,3,2005-07-19
1828884,2,5,2004-12-21
1878728,2,4,2005-12-01
1922778,2,3,2005-02-07
1176404,2,4,2005-02-23
2265116,2,3,2005-09-06
1078701,2,4,2005-10-12
1832577,2,4,2005-09-07
748922,2,5,2005-07-05
1013802,2,1,2005-05-30
1131325,2,2,2005-11-14
2244378,2,4,2005-02-09
494639,2,2,2005-09-26
636262,2,1,2005-08-23
1903158,2,4,2005-03-04
220427,2,4,2005-05-05
2439493,2,1,2005-02-10
2225116,2,4,2005-08-29
1445632,2,5,2005-01-30
2592823,2,4,2005-02-06
1288603,2,5,2005-06-20
2556926,2,3,2005-07-09
1190070,2,4,2005-11-05
1312846,2,3,2005-08-26
2226229,2,3,2005-04-24
1563935,2,1,2005-08-12
69809,2,5,2005-04-08
1349753,2,3,2005-03-23
785768,2,3,2005-04-19
426476,2,5,2005-05-10
810636,2,4,2005-04-25
468713,2,5,2005-07-18
222290,2,4,2005-03-14
349407,2,5,2005-01-02
311232,2,2,2005-06-28
2596999,2,4,2005-10-07
1025601,2,5,2005-11-09
1743759,2,4,2005-01-30
2385553,2,5,2005-05-24
1374216,2,1,2005-09-25
526466,2,4,2005-03-05
2648861,2,3,2005-05-25
1210631,2,3,2005-03-24
2314531,2,4,2005-07-15
618272,2,1,2005-08-14
2532807,2,3,2005-01-28
412535,2,4,2005-05-23
1315005,2,4,2005-06-28
1358911,2,5,2005-12-13
507603,2,1,2005-07-23
1507649,2,5,2005-02-17
845529,2,5,2005-04-26
1479907,2,5,2005-02-28
236271,2,2,2005-06-21
2422676,2,3,2005-04-07
1636093,2,5,2005-10-20
995594,2,5,2005-01-19
1664010,2,4,2005-10-13
2431481,2,3,2004-11-18
1980668,2,5,2004-12-16
402321,2,4,2005-04-18
1344564,2,3,2005-01-25
1632603,2,3,2005-09-09
2567280,2,3,2005-03-17
1623166,2,3,2005-02-10
521932,2,4,2005-01-11
105086,2,5,2005-09-20
2072554,2,5,2005-05-05
2231529,2,3,2005-08-25
2103439,2,2,2005-06-05
261764,2,1,2005-11-10
193476,2,5,2005-03-23
1576540,2,4,2005-04-14
1783594,2,5,2005-03-07
503334,2,4,2005-11-25
183903,2,5,2005-01-30
2606799,2,1,2005-05-16
1236127,2,4,2005-06-07
2375962,2,3,2005-07-04
2212071,2,3,2005-09-17
1252841,2,3,2005-02-06
247898,2,5,2005-07-15
1025579,3,4,2003-03-29
712664,3,5,2004-02-01
1331154,3,4,2004-07-03
2632461,3,3,2005-07-22
44937,3,5,2004-06-22
656399,3,4,2003-09-20
439011,3,1,2004-01-22
1436762,3,3,2003-03-17
1644750,3,3,2003-03-19
2031561,3,4,2004-03-31
616720,3,4,2003-08-10
2467008,3,4,2004-03-15
975874,3,5,2004-02-09
701730,3,2,2005-10-05
1614320,3,4,2003-08-11
115498,3,3,2003-07-16
931626,3,2,2004-07-08
699878,3,4,2003-05-02
1694958,3,3,2005-08-10
